为了,"['for', 'for the sake of']","['prep.', 'misc.']"
承继,"[""be adopted as heir to one's uncle""]","[""be adopted as heir to one's uncle\n ;\n""]"
承建,['contract to build'],['contract to build\n']
承接,"['continue', 'carry on']","['vi.', 'misc.']"
承揽,['hire of work'],['hire of work\n']
承蒙,['be indebted (to sb. for a kindness)'],['be indebted (to sb. for a kindness)\n ;\n']
承诺,['commitment'],['n.']
承前启后,['serve as a link between past and future'],['serve as a link between past and future\n']
承情,['be much obliged'],['be much obliged\n ;\n']
承认,['acknowledge'],['vt.']
承上启下,['a connecting link between the preceding and the following'],['a connecting link between the preceding and the following\n']
承受,"['bear', 'support']","['vi.', 'vt.']"
承袭,"['follow', 'adopy']","['vt.', 'misc.']"
承先启后,['carry on the past heritage and open up the future'],['carry on the past heritage and open up the future\n ;\n']
承销,"['consignment-in', 'consignment sales']","['n.', 'misc.']"
承应,['promise'],['n.']
承运,['accept for carriage'],['accept for carriage\n']
承载,['bear the weight of'],['bear the weight of\n']
承重,"['bearing', 'load-bearing']","['n.', 'misc.']"
承转,['forward'],['adj.']
承租,"['lessee', 'accepting leases']","['n.', 'misc.']"
承做,['undertake the manufacture of…'],['undertake the manufacture of…\n']
城,['city'],['n.']
城堡,['tower'],['n.']
城池,"['city', 'city wall and moat']","['n.', 'misc.']"
城垛,['battlement'],['n.']
城垛口,['crenel'],['n.']
城防,['the defence of a city'],['the defence of a city\n']
城府,['shrewdness'],['n.']
城根,['sections of a city close to the city wall'],['sections of a city close to the city wall\n']
城关,['the area just outside a city gate'],['the area just outside a city gate\n']
城管,['city management；city inspectors'],['city management；city inspectors\n']
城郭,['city walls'],['city walls\n ;\n']
城壕,['moat'],['n.']
城隍,['town god'],['town god\n ;\n']
城际,['intercity'],['adj.']
城建,['urban construction'],['urban construction\n ;\n']
城郊,"['suburb', 'outskirts of a town']","['n.', 'misc.']"
城楼,['gate tower'],['gate tower\n ;\n']
城门失火，殃及池鱼,"[""Innocent people get into trouble on occount of others' misfortune.""]","[""Innocent people get into trouble on occount of others' misfortune.\n""]"
城墙,"['rampart', 'city wall']","['n.', 'misc.']"
城区,['the city proper'],['the city proper\n ;\n']
城阙,['the watch tower on either side of a city gate'],['the watch tower on either side of a city gate\n']
城市,['city'],['n.']
城市贫民,['urban poor'],['urban poor\n']
城市热岛效应,['urban heat island effect'],['urban heat island effect\n']
城市铁路,['urban railway'],['urban railway\n']
城铁,['urban subway'],['urban subway\n ;\n']
城下之盟,['a treaty signed under coercion'],['a treaty signed under coercion\n']
城垣,['city wall'],['city wall\n']
城镇,['cities and towns'],['cities and towns\n']
宬,['room of collecting books in ancient times'],['room of collecting books in ancient times\n']
埕,['field of razor clam'],['field of razor clam\n ;\n']
埕,['field of razor clam'],['field of razor clam\n ;\n']
晟,"['bright', 'a surname']","['adj.', 'misc.']"
乘,"['ride', 'multiply', 'a war chariot drawn by four horses']","['vi.', 'vt.', 'misc.']"
乘,"['ride', 'multiply', 'a war chariot drawn by four horses']","['vi.', 'vt.', 'misc.']"
乘便,['when it is convenient'],['when it is convenient\n ;\n']
乘除,['multiply-divide'],['multiply-divide\n']
乘法,['multiplication'],['n.']
乘方,['power'],['n.']
乘风破浪,['brave the wind and the waves'],['brave the wind and the waves\n']
乘机,['seize the opportunity'],['seize the opportunity\n']
乘积,['product'],['n.']
乘警,['a railway policeman'],['a railway policeman\n']
乘客,"['passenger', 'fare']","['n.', 'vi.']"
乘凉,['enjoy the cool'],['enjoy the cool\n ;\n']
乘幂,['power'],['n.']
乘人之危,"[""hit sb. when he's down""]","[""hit sb. when he's down\n ;\n""]"
乘势,['avail oneself of'],['avail oneself of\n']
乘务,['flight attendant'],['flight attendant\n ;\n']
乘务员,['steward'],['n.']
乘隙,['take advantage of a loophole'],['take advantage of a loophole\n ;\n']
乘兴,['while one is in high spirits'],['while one is in high spirits\n']
乘虚,"[""take advantage of a weak point in an opponent's defence""]","[""take advantage of a weak point in an opponent's defence\n ;\n""]"
乘员,['passenger'],['n.']
乘坐,"['by', 'ride']","['prep.', 'n.']"
盛,"['prosperous', 'fill']","['adj.', 'vt.']"
盛器,['vessel'],['n.']
铖,"[""a word used in a person's name""]","[""a word used in a person's name\n""]"
程,"['procedure', 'range']","['n.', 'vi.']"
程度,['degree'],['n.']
程控,"['cell-type', 'stored program control']","['n.', 'misc.']"
程门立雪,['stand in the snow to wait upon Master Cheng respectfully'],['stand in the snow to wait upon Master Cheng respectfully\n ;\n']
程式,['form'],['n.']
程限,"['form', 'time or place limit']","['n.', 'misc.']"
程序,['procedure'],['n.']
程序法,['procedural law'],['procedural law\n ;\n']
程序控制,['process control'],['process control\n']
惩,"['punish', 'take or give warning']","['vt.', 'misc.']"
惩办,"['punishment', 'punish']","['n.', 'vt.']"
惩处,"['punishment', 'punish', 'administer justice']","['n.', 'vt.', 'misc.']"
惩恶扬善,['praising virtue and punishing vice'],['praising virtue and punishing vice\n']
惩罚,['punishment'],['n.']
惩戒,['punish sb. to teach him a lesson'],['punish sb. to teach him a lesson\n ;\n']
惩前毖后,['learn from past mistakes to avoid future ones'],['learn from past mistakes to avoid future ones\n ;\n']
惩一儆百,['make an example of sb.'],['make an example of sb.\n ;\n']
惩治,"['punish', 'mete out punishment to']","['vt.', 'misc.']"
椉,"['ride', 'pursue', 'be left over']","['vi.', 'vt.', 'misc.']"
裎,"['naked', 'a surname']","['adj.', 'misc.']"
塍,['a path between fields'],['a path between fields\n ;\n']
酲,['hangover'],['n.']
澄,"['settle', 'clear', 'clarify']","['vi.', 'adj.', 'vt.']"
澄澈,['clarity'],['n.']
澄清,"['clarification', 'clear', 'clarify']","['n.', 'adj.', 'vt.']"
澄莹,['clear'],['adj.']
橙,"['orange colour', 'orange', 'Citrus sinensisorange']","['n.', 'adj.', 'misc.']"
橙红,"['salmon', 'orange red']","['n.', 'misc.']"
橙黄,['orange (colour)'],['orange (colour)\n']
橙子,['orange'],['adj.']
逞,"['succeed', 'flaunt', 'show off']","['vi.', 'vt.', 'misc.']"
逞能,"[""show off one's skill or ability""]","[""show off one's skill or ability\n ;\n""]"
逞强,"[""flaunt one's superiority""]","[""flaunt one's superiority\n""]"
逞凶,"['bluster', 'act violently']","['vt.', 'misc.']"
骋,"['gallop', 'give free rein to']","['n.', 'misc.']"
骋怀,"[""give free rein to one's thoughts and feelings""]","[""give free rein to one's thoughts and feelings\n""]"
骋目,['look into the distance'],['look into the distance\n']
裎,"['naked', 'a surname']","['adj.', 'misc.']"
秤,['scales'],['n.']
秤锤,['sliding weight of a steelyard'],['sliding weight of a steelyard\n']
秤杆,['weighbeam'],['n.']
秤钩,['steelyard hook'],['steelyard hook\n']
秤砣,"['weight', 'the sliding weight of a steelyard']","['n.', 'misc.']"
秤星,['gradations marked on the beam of a steelyard'],['gradations marked on the beam of a steelyard\n']
称,"['name', 'call', 'weigh up']","['n.', 'vt.', 'misc.']"
牚,"['rung', '同 “撑”']","['n.', 'misc.']"
吃,['eat'],['vt.']
吃,['eat'],['vt.']
吃白食,['have a free meal'],['have a free meal\n ;\n']
吃闭门羹,['kiss the post'],['kiss the post\n']
吃不服,['not be accustomed to eating sth.'],['not be accustomed to eating sth.\n ;\n']
吃不开,['be unpopular'],['be unpopular\n ;\n']
吃不来,['not be fond of certain food'],['not be fond of certain food\n']
吃不消,"['be unable to stand (exertion, fatigue, etc.)']","['be unable to stand (exertion, fatigue, etc.)\n ;\n']"
吃不住,['be unable to bear or support'],['be unable to bear or support\n']
吃吃喝喝,['wine and dine (with sb.)'],['wine and dine (with sb.)\n']
吃醋,"['jealousness', 'jealous']","['n.', 'adj.']"
吃大锅饭,['egalitarian practice of'],['egalitarian practice of\n ;\n']
吃大户,['mass seizure and eating of food in the homes of landlords'],['mass seizure and eating of food in the homes of landlords\n']
吃刀,['penetration of a cutting tool'],['penetration of a cutting tool\n']
吃得开,['be popular'],['be popular\n ;\n']
吃得来,['be able to eat'],['be able to eat\n ;\n']
吃得消,"['be able to stand (exertion, fatigue, etc.)']","['be able to stand (exertion, fatigue, etc.)\n']"
吃得住,['be able to bear or support'],['be able to bear or support\n']
吃豆腐,['eat bean curd -- flirt with women'],['eat bean curd -- flirt with women\n']
吃独食,['not to share profit with others'],['not to share profit with others\n']
吃饭,"['dining', 'dine', 'eat', 'have a meal']","['n.', 'vi.', 'vt.', 'misc.']"
吃官司,['be sued (in a court of law)'],['be sued (in a court of law)\n']
吃喝儿,['food and drink'],['food and drink\n']
吃皇粮,['receive salaries'],['receive salaries\n ;\n']
吃货,['foodie'],['n.']
吃紧,['be critical'],['be critical\n ;\n']
吃劲,['entail much effort'],['entail much effort\n ;\n']
吃惊,"['surprise', 'shocked', 'amaze']","['n.', 'adj.', 'vt.']"
吃苦,['have a rough time'],['have a rough time\n']
吃亏,['suffer losses'],['suffer losses\n ;\n']
吃老本,"[""live off one's past gains""]","[""live off one's past gains\n ;\n""]"
吃里扒外,['live on sb. while helping others secretly'],['live on sb. while helping others secretly\n']
吃里爬外,"[""work in the interest of an opposing group at the expense of one's own""]","[""work in the interest of an opposing group at the expense of one's own\n""]"
吃力,"['strenuous', 'entail strenuous effort']","['adj.', 'misc.']"
吃请,['accept an invitation to dinner (extended as a bribe)'],['accept an invitation to dinner (extended as a bribe)\n']
吃食,"['food', 'eatables', 'feed']","['n.', 'adj.', 'vt.']"
吃水,"['draught', 'drinking water']","['n.', 'misc.']"
吃水,"['draught', 'drinking water']","['n.', 'misc.']"
吃水,"['draught', 'drinking water']","['n.', 'misc.']"
吃素,['be a vegetarian'],['be a vegetarian\n ;\n']
吃透,['have a thorough grasp of'],['have a thorough grasp of\n']
吃闲饭,['lead an idle life'],['lead an idle life\n ;\n']
吃香,['be very popular'],['be very popular\n ;\n']
吃相,['table manners'],['table manners\n']
吃小灶,['be treated in a favoured way'],['be treated in a favoured way\n ;\n']
吃哑巴亏,"[""be unable to speak out about one's grievances""]","[""be unable to speak out about one's grievances\n""]"
吃一堑，长一智,"['A fall into the pit, a gain in your wit.']","['A fall into the pit, a gain in your wit.\n ;\n']"
吃斋,['practise abstinence from meat (as a religious exercise)'],['practise abstinence from meat (as a religious exercise)\n ;\n']
吃重,['arduous'],['adj.']
郗,['Xi ( a Chinese surname)'],['Xi ( a Chinese surname)\n']
哧,['a tittering or tearing sound'],['a tittering or tearing sound\n']
哧溜,['with a swish'],['with a swish\n']
胵,['crop (of a bird)'],['crop (of a bird)\n']
鸱,"['owl', 'barn owl']","['n.', 'misc.']"
鸱吻,"['ornament on roof ridge, in the shape of a legendary animal']","['ornament on roof ridge, in the shape of a legendary animal\n']"
蚩,"['ignorant', 'a surname']","['adj.', 'misc.']"
眵,['gum (in the eyes)'],['gum (in the eyes)\n']
笞,"['beat with a stick, cane, etc.']","['beat with a stick, cane, etc.\n']"
瓻,['wine pot'],['wine pot\n']
摛,"['flourish', '']","['n.', 'misc.']"
嗤,['sneer'],['vi.']
嗤笑,['laugh at'],['laugh at\n ;\n']
嗤之以鼻,['turn up one’s nose （at）'],['turn up one’s nose （at）\n']
痴,"['silly', 'crazy about']","['adj.', 'misc.']"
痴爱,['be crazy about'],['be crazy about\n ;\n']
痴呆,['stupid'],['adj.']
痴肥,"['flabby', 'abnormally fat']","['adj.', 'misc.']"
痴狂,['crazy'],['adj.']
痴迷,['besotted'],['adj.']
痴情,"['infatuation', 'unreasoning passion']","['n.', 'misc.']"
痴人说梦,['ask for the moon'],['ask for the moon\n ;\n']
痴想,"['illusion', 'be crazy for']","['n.', 'v.']"
痴笑,"['titter', 'giggle', 'silly smile']","['n.', 'vi.', 'misc.']"
痴心,"['infatuation', 'silly wish']","['n.', 'misc.']"
痴心妄想,"['wishful thinking', ""hitch one's wagon to a star""]","['n.', 'misc.']"
痴子,"['idiot', 'fool']","['n.', 'vi.']"
媸,['ugly'],['adj.']
螭,['a legendary dragon'],['a legendary dragon\n ;\n']
魑,['mountain elf'],['mountain elf\n']
池,['pond（天池等已习惯使用Lake的可沿用）'],['pond（天池等已习惯使用Lake的可沿用）\n']
池塘,['pond'],['vt.']
池盐,['lake salt'],['lake salt\n']
池浴,['pool bath'],['pool bath\n']
池沼,"['pool', 'pond']","['n.', 'vt.']"
池子,"['pool', 'pond']","['n.', 'vt.']"
池座,"['loge', 'seats in orchestra']","['n.', 'misc.']"
弛,"['relax', 'loosen', 'fall off']","['vi.', 'vt.', 'misc.']"
弛缓,"['atonia', 'relax', 'slack', 'calm down']","['n.', 'vi.', 'adj.', 'misc.']"
弛禁,['rescind a prohibition'],['rescind a prohibition\n ;\n']
驰,"['gallop', 'speed', 'turn eagerly towards']","['n.', 'vi.', 'misc.']"
驰骋,['gallop'],['n.']
驰名,['resound'],['vi.']
驰驱,"['gallop', 'ride fast']","['n.', 'misc.']"
驰誉,['famous'],['adj.']
驰援,['rush to the rescue'],['rush to the rescue\n']
驰骤,['gallop'],['n.']
迟,"['delayed', 'late']","['v.', 'adj.']"
迟迟,['tardy'],['adj.']
迟到,['be late'],['be late\n']
迟钝,['bluntness'],['n.']
迟缓,"['sluggish', 'slow']","['adj.', 'adv.']"
迟暮,"[""past one's prime""]","[""past one's prime\n ;\n""]"
迟误,"['delay', 'procrastinate']","['vi.', 'vt.']"
迟延,"['delay', 'retard', 'drag on']","['vi.', 'vt.', 'misc.']"
迟疑,['hesitate'],['vi.']
迟早,['sooner or later'],['sooner or later\n ;\n']
迟滞,"['lag', 'sluggish']","['n.', 'adj.']"
坻,"['sandbar', 'islet in a river']","['n.', 'misc.']"
持,"['run', 'hold']","['vi.', 'vt.']"
持仓,"['position', 'take a position']","['n.', 'misc.']"
持仓量,['inventory'],['n.']
持股,"['positions', 'share holding']","['n.', 'misc.']"
持家,"[""run one's home""]","[""run one's home\n ;\n""]"
持久,['lasting'],['adj.']
持久战,['protracted war'],['protracted war\n']
持论,['present an argument'],['present an argument\n ;\n']
持平,['hold the line'],['v.']
持身,['conduct oneself (properly)'],['conduct oneself (properly)\n']
持续,"['continue', 'sustain']","['vi.', 'vt.']"
持有,['hold'],['vt.']
持斋,['keep vegetarian fast'],['keep vegetarian fast\n']
持之以恒,['perserve'],['perserve\n']
持之有故,"[""have sufficient grounds for one's views""]","[""have sufficient grounds for one's views\n ;\n""]"
持重,['prudent'],['adj.']
匙,"['spoon', 'scoop', 'cochleare']","['n.', 'vt.', 'misc.']"
匙子,['spoon'],['n.']
漦,['saliva'],['n.']
墀,['steps (leading up to a temple or palace)'],['steps (leading up to a temple or palace)\n']
踟,['hesitant'],['adj.']
踟蹰,['hesitate'],['vi.']
篪,['an ancient musical pipe'],['an ancient musical pipe\n']
尺,"['ruler', 'corresponding to 2 in numbered musical notation']","['n.', 'misc.']"
尺寸,['size'],['n.']
尺牍,['a model of epistolary art'],['a model of epistolary art\n']
尺度,['measure'],['n.']
尺短寸长,['every person has his weak points as well as strong points'],['every person has his weak points as well as strong points\n']
尺幅千里,['rich content within a small compass'],['rich content within a small compass\n']
尺骨,"['ulna', 'os ulna']","['n.', 'misc.']"
尺蠖,['looper'],['n.']
尺码,['size'],['n.']
尺头,['caput ulnare'],['caput ulnare\n']
尺子,['ruler'],['n.']
呎,['foot'],['n.']
齿,['tooth'],['n.']
齿唇音,"['dentilabial', 'labio-dental']","['adj.', 'misc.']"
齿冷,['laugh sb. to scorn'],['laugh sb. to scorn\n']
齿录,"['employ', 'take sb. on the staff']","['vt.', 'misc.']"
齿轮,['(toothedgear'],['(toothedgear\n ;\n']
齿数,['number of teeth'],['number of teeth\n']
侈,"['wasteful', 'exaggerate']","['adj.', 'vt.']"
侈谈,['talk glibly about'],['talk glibly about\n ;\n']
耻,"['shame', 'be ashamed of']","['n.', 'misc.']"
耻骨,"['pubis', 'ossa pectinis']","['n.', 'misc.']"
耻辱,['disgrace'],['n.']
耻笑,['hold sb. to ridicule'],['hold sb. to ridicule\n ;\n']
豉,['fermented soya beans， salted or otherwise'],['fermented soya beans， salted or otherwise\n']
褫,['strip'],['vt.']
褫夺,['strip'],['vt.']
叱,['loudly rebuke'],['loudly rebuke\n ;\n']
叱喝,['shout at'],['shout at\n ;\n']
叱骂,"['curse', 'scold roundly']","['n.', 'misc.']"
叱责,"['scold', 'rebuke']","['vi.', 'vt.']"
叱咤,['shout or bawl angrily'],['shout or bawl angrily\n ;\n']
叱咤风云,['ride the whirlwind'],['ride the whirlwind\n ;\n']
斥,"['reprimand', 'scold', 'denounce']","['n.', 'vi.', 'vt.']"
斥,"['reprimand', 'scold', 'denounce']","['n.', 'vi.', 'vt.']"
斥,"['reprimand', 'scold', 'denounce']","['n.', 'vi.', 'vt.']"
斥候,"['scouts', 'reconnoitre']","['n.', 'vi.']"
斥力,"['repulsion', 'repulsive force']","['n.', 'misc.']"
斥骂,"['reproach', 'scold', 'upbraid']","['n.', 'vi.', 'vt.']"
斥退,['dismiss sb. from his post'],['dismiss sb. from his post\n']
斥责,"['reprimand', 'rebuke']","['n.', 'vt.']"
斥逐,"['to expel, to drive away']","['to expel, to drive away\n']"
斥资,['fund with lots of money'],['fund with lots of money\n ;\n']
赤,"['red', 'loyal']","['n.', 'adj.']"
赤背,"['barebacked', 'naked back']","['adj.', 'misc.']"
赤膊,['barebacked'],['adj.']
赤膊上阵,['come out without any disguise'],['come out without any disguise\n ;\n']
赤潮,['red tide'],['red tide\n']
赤忱,['absolute sincerity'],['absolute sincerity\n']
赤诚,['absolute sincerity'],['absolute sincerity\n ;\n']
赤胆忠心,"['wholeheartedness', 'utter devotion']","['n.', 'misc.']"
赤道,['equator'],['n.']
赤豆,['Phaseolus anagularis'],['Phaseolus anagularis\n ;\n']
赤红,['crimson'],['n.']
赤脚,['barefoot'],['adj.']
赤脚医生,['barefoot doctor'],['barefoot doctor\n']
赤金,['pink gold'],['pink gold\n']
赤露,['bare'],['adj.']
赤裸,['bareness'],['n.']
赤裸裸,"['stark-naked', 'without a stitch of clothing']","['adj.', 'misc.']"
赤贫,['in abject poverty'],['in abject poverty\n ;\n']
赤身,['naked'],['adj.']
赤手空拳,"['unarmed', 'have only empty hands']","['adj.', 'misc.']"
赤条条,['have not a stitch on'],['have not a stitch on\n ;\n']
赤小豆,['phaseolus calcaratus'],['phaseolus calcaratus\n ;\n']
赤心,['Sincere Heart'],['Sincere Heart\n']
赤子,['newborn baby'],['newborn baby\n']
赤字,"['deficit', 'red ink']","['n.', 'misc.']"
赤足,['with bared feet'],['with bared feet\n']
饬,"['order', 'readjust', 'well-behaved', 'instruct', 'put in order']","['n.', 'vi.', 'adj.', 'vt.', 'misc.']"
饬令,"['order', 'direct']","['n.', 'adj.']"
抶,['whip'],['vt.']
炽,['flaming'],['adj.']
炽烈,"['blazing', 'burning fiercely']","['adj.', 'misc.']"
炽热,"['incandescence', 'calorescense']","['n.', 'misc.']"
炽盛,['flaming'],['adj.']
翅,"['wing', ""shark's fins""]","['n.', 'misc.']"
翅膀,['wing'],['n.']
翅果,"['samara', 'key fruit']","['n.', 'misc.']"
翅脉,"['vein', 'pterigostium']","['n.', 'misc.']"
敕,"['edict', 'imperial order']","['n.', 'misc.']"
敕令,"['edict', 'imperial order']","['n.', 'misc.']"
啻,['only'],['adv.']
傺,"['despondently', 'disappointedly]']","['adv.', 'misc.']"
瘛,['convulsive limbs'],['convulsive limbs\n']
冲,"['rush', 'strong', 'wash away']","['n.', 'adj.', 'misc.']"
冲,"['rush', 'strong', 'wash away']","['n.', 'adj.', 'misc.']"
冲,"['rush', 'strong', 'wash away']","['n.', 'adj.', 'misc.']"
冲程,"['travel', '(length ofstroke']","['vi.', 'misc.']"
冲冲,['Sin a state of excitement'],['Sin a state of excitement\n']
冲刺,"['sprint', 'shoot', 'shoot ahead']","['vi.', 'vt.', 'misc.']"
冲淡,"['dilute', 'water down']","['vt.', 'misc.']"
冲抵,['charge against'],['charge against\n']
冲动,['impulsion'],['n.']
冲犯,['offend'],['vt.']
冲锋,['charge'],['n.']
冲锋枪,['submachine gun'],['submachine gun\n']
冲锋陷阵,['charge forward'],['charge forward\n']
冲服,"['take (medicine) after mixing it with water,wine, etc.']","['take (medicine) after mixing it with water,wine, etc.\n']"
冲击,"['shock', 'impact', 'strike']","['n.', 'vi.', 'vt.']"
冲击波,['shock wave'],['shock wave\n ;\n']
冲击机,['shock machine'],['shock machine\n ;\n']
冲积,"['alluviation', 'alluvial']","['n.', 'adj.']"
冲剂,"['electuary', 'medicines in solid state to be taken in after mixing with water']","['n.', 'misc.']"
冲扩,['develop and enlarge print'],['develop and enlarge print\n']
冲浪,['surfing'],['surfing\n']
冲力,"['impulsion', 'impactimpulse']","['n.', 'misc.']"
冲凉,['have a shower'],['have a shower\n']
冲量,['impulse'],['n.']
冲破,"['breach', 'break through']","['n.', 'misc.']"
冲杀,"['charge', 'rush ahead']","['n.', 'misc.']"
冲刷,"['washing', 'scour', 'erode', 'wash out']","['n.', 'vi.', 'vt.', 'misc.']"
冲天,"['towering', 'shoot up to the sky']","['adj.', 'misc.']"
冲突,"['conflict', 'collide']","['n.', 'vi.']"
冲洗,"['wash', 'douche', 'swash']","['n.', 'vi.', 'vt.']"
冲销,['charge against'],['charge against\n']
冲要,['strategically important place'],['strategically important place\n']
冲澡,['take a shower'],['take a shower\n']
冲账,[''],['\n ;\n']
冲撞,"['dash', 'collide', 'offend']","['n.', 'vi.', 'vt.']"
充,"['substitute', 'satisfy', 'sufficient', 'fulfill']","['n.', 'vi.', 'adj.', 'vt.']"
充斥,['be full of'],['be full of\n']
充当,['serve as'],['serve as\n ;\n']
充电,['recharge'],['recharge\n ;\n']
充耳不闻,['turn a deaf ear to'],['turn a deaf ear to\n']
充分,"['plenitude', 'sufficient']","['n.', 'adj.']"
充公,"['forfeit', 'confiscate']","['n.', 'vt.']"
充饥,['allayappease'],['allayappease\n ;\n']
充军,"['banish', 'be transported to a distant place for penal servitude']","['vt.', 'misc.']"
充满,['be full of'],['be full of\n ;\n']
充沛,"['abundant', 'full of']","['adj.', 'misc.']"
充其量,['at best'],['at best\n ;\n']
充任,['fill the post of'],['fill the post of\n ;\n']
充塞,"['cram', 'fill (up)']","['adj.', 'misc.']"
充实,"['repletion', 'rich', 'enrich']","['n.', 'adj.', 'vt.']"
充数,['make up the number'],['make up the number\n ;\n']
充血,['congestion'],['n.']
充溢,"['exuberant', '(be) overflowing (with)']","['adj.', 'misc.']"
充盈,['full'],['adj.']
充裕,['abundant'],['adj.']
充值,['top up；recharge'],['top up；recharge\n']
充足,"['plenty', 'adequate', 'enough']","['n.', 'adj.', 'adv.']"
忡,['uneasy'],['adj.']
忡忡,"['anxious', 'laden with anxiety']","['adj.', 'misc.']"
茺,['motherwort'],['n.']
涌,"['gush', 'surge', 'emerge', 'rush forth']","['v.', 'n.', 'vi.', 'misc.']"
翀,['fly up'],['fly up\n']
舂,"['pound', 'pestle']","['n.', 'vt.']"
憃,['stupid'],['adj.']
憧,['irresolute'],['adj.']
憧憧,['flickering'],['adj.']
憧憬,"['longing', 'look forward to']","['n.', 'misc.']"
罿,['net'],['n.']
艟,['warships protected with cowhide'],['warships protected with cowhide\n']
虫,['worm'],['n.']
虫草,['worm grass'],['worm grass\n ;\n']
虫害,['insect pest'],['insect pest\n ;\n']
虫情,['insect pest situation'],['insect pest situation\n']
虫牙,"['decayed tooth', 'scolecodont']","['n.', 'misc.']"
虫眼,"['wormhole', 'worm channel']","['n.', 'misc.']"
虫瘿,['insect gall'],['insect gall\n']
虫灾,['plague of insects'],['plague of insects\n']
虫豸,['insects'],['n.']
虫子,['bug'],['n.']
种,"['seed', 'grow']","['n.', 'vt.']"
重,"['repeat; once more; layer; a surname; weight; layplace, put] stress on; place value upon; attach importance to heavy; weighty; deep; serious']","['repeat; once more; layer; a surname; weight; layplace, put] stress on; place value upon; attach importance to heavy; weighty; deep; serious\n ;\n']"
重版,['republication'],['n.']
重瓣胃,"['omasum', 'manifold']","['n.', 'vt.']"
重播,['rebroadcast'],['vt.']
重茬,['（连作） continuous cropping'],['（连作） continuous cropping\n']
重唱,['an ensemble of two or more singers'],['an ensemble of two or more singers\n ;\n']
重重,['layer upon layer'],['layer upon layer\n ;\n']
重出,['reappear'],['vi.']
重蹈覆辙,['follow the same old disastrous road'],['follow the same old disastrous road\n']
重叠,['overlap'],['n.']
重读,"['stress', 'pronounce with stress']","['n.', 'misc.']"
重返,"['reentry', 'return']","['n.', 'vt.']"
重逢,['meet again'],['meet again\n ;\n']
重复,['repetition'],['n.']
重合,"['superposition', 'coincide', 'polymerrization']","['n.', 'vi.', 'misc.']"
重婚,"['bigamy', 'bigamous marriage']","['n.', 'misc.']"
重见天日,['to once more see the light of day'],['to once more see the light of day\n ;\n']
重峦叠嶂,['range upon range of mountains'],['range upon range of mountains\n']
重落,['flump'],['n.']
重码,['repeated code'],['repeated code\n']
重名,['duplication of name'],['duplication of name\n']
重申,['reiterate'],['vt.']
重审,"['retrial', 'redefine']","['n.', 'vt.']"
重生,['rebirth'],['n.']
重生父母,"[""as one's own parents""]","[""as one's own parents\n ;\n""]"
重孙,['great-grandson'],['n.']
重孙女,['great-granddaughter'],['great-granddaughter\n']
重沓,['repetitious'],['adj.']
重围,['tight encirclement'],['tight encirclement\n']
重温旧梦,['revive an old dream'],['revive an old dream\n']
重文,['variant Chinese character'],['variant Chinese character\n']
重现,"['recurrence', 'reappear']","['n.', 'vi.']"
重霄,['the highest heaven'],['the highest heaven\n']
重新,['anew'],['adv.']
重行,['overline'],['adj.']
重修,['rebuild'],['vt.']
重修旧好,['become reconciled'],['become reconciled\n ;\n']
重言,['tautology'],['n.']
重演,['put on an old play， etc.'],['put on an old play， etc.\n ;\n']
重阳,['the Double Ninth Festival'],['the Double Ninth Festival\n']
重洋,['the seas and oceans'],['the seas and oceans\n']
重译,['retranslate'],['vt.']
重印,['reprint'],['vt.']
重影,"['fringe', 'double image']","['n.', 'misc.']"
重圆,['bicircular'],['bicircular\n']
重张,['re-open (a shop)'],['re-open (a shop)\n']
重振旗鼓,['rally'],['vi.']
重整旗鼓,['rally'],['vi.']
重奏,"['ensemble', 'an ensemble of two or more instrumentalists']","['n.', 'misc.']"
重足而立,['stand transfixed with fear'],['stand transfixed with fear\n ;\n']
重组,"['recombination', 'regroup']","['n.', 'vt.']"
崇,"['worship', 'lofty', 'esteem']","['n.', 'adj.', 'vt.']"
崇拜,"['worship', 'adore']","['n.', 'vt.']"
崇奉,"['worship', 'believe in (a religion)']","['n.', 'misc.']"
崇高,"['sublime', 'lofty']","['n.', 'adj.']"
崇敬,"['respect', 'revere']","['n.', 'vt.']"
崇山峻岭,['high mountains and lofty hills'],['high mountains and lofty hills\n ;\n']
崇尚,['uphold'],['vt.']
崇洋,['worship foreign things'],['worship foreign things\n ;\n']
崇仰,['worship'],['n.']
崇祯,['Chong Zhen（人名）'],['Chong Zhen（人名）\n']
宠,"['pamper', 'dote on']","['vt.', 'misc.']"
宠爱,"['favour', 'dote on']","['n.', 'misc.']"
宠儿,"['minion', 'favourite']","['n.', 'adj.']"
宠溺,['pamper'],['pamper\n ;\n']
宠辱不惊,['remain indifferent whether granted favours or subjected to humiliation'],['remain indifferent whether granted favours or subjected to humiliation\n']
宠物,"['pet', ""the object of one's affections""]","['n.', 'misc.']"
宠信,['be specially fond of and trust unduly (a subordinate)'],['be specially fond of and trust unduly (a subordinate)\n ;\n']
宠幸,['make a pet of sb.'],['make a pet of sb.\n']
冲,"['rush', 'strong', 'wash away']","['n.', 'adj.', 'misc.']"
冲,"['rush', 'strong', 'wash away']","['n.', 'adj.', 'misc.']"
冲,"['rush', 'strong', 'wash away']","['n.', 'adj.', 'misc.']"
冲床,"['punch', 'punch press']","['n.', 'misc.']"
冲压,"['punch', 'stamping']","['n.', 'v.']"
冲子,"['punch', 'center punch']","['n.', 'misc.']"
